name,latitude,longitude,type,color
Saarbrücken-Verkehr,49.3156775,6.9114405,27,4990E2
Bornhöved,54.0689043,10.2289767,52,4990E2
Flensburg,54.7833021,9.4333264,42,4990E2
Lübeck-St. Jürgen,53.8423193,10.7029357,34,4990E2
Itzehoe Lindenstr.,53.9315753,9.5060038,29,4990E2
Kiel Bahnhofstr.,54.306259,10.133816,14,4990E2
Norderstedt,53.7089898,9.9891914,72,4990E2
Kiel-Max-Planck-Str.,54.3122086,10.1208589,14,4990E2
Brunsbüttel-Cuxhavener Straße,53.891789,9.151098,66,4990E2
Kiel-Theodor-Heuss-Ring,54.3033749,10.1338918,14,4990E2
Lübeck Moislinger Allee,53.8500854,10.6427263,83,4990E2
Lübeck Fackenburger Allee,53.867678,10.6732633,111,4990E2
Annaberg-Buchholz,50.5788781,13.0106108,77,4990E2
Bautzen,51.1813907,14.4275735,103,4990E2
Borna,51.1241649,12.4999055,47,4990E2
Freiberg,50.9169415,13.3428889,53,4990E2
Glauchau,50.8199031,12.5397873,124,4990E2
Görlitz,51.1517428,14.9844025,43,4990E2
Klingenthal,50.3581046,12.4678923,52,4990E2
Leipzig-Mitte,51.4044131,12.3960573,55,4990E2
Zittau-Ost,50.9058707,14.8083539,40,4990E2
Radebeul-Wahnsdorf,51.11961575,13.66456395,44,4990E2
Zinnwald,50.738753,13.7590246,46,4990E2
Leipzig-West,51.3420396,12.1839833,52,4990E2
Dresden-Nord,36.458179,-81.5456631,25,4990E2
Schwartenberg,50.6591578,13.4654937,47,4990E2
Plauen-Süd,50.4428554,12.1590458,16,4990E2
Collmberg,51.017804,13.6775366,68,4990E2
Leipzig Lützner Str. 36,51.33601715,12.33457748,23,4990E2
Niesky,51.2930459,14.8229926,19,4990E2
Chemnitz-Leipziger Str.,50.8600244,12.8662942,4,4990E2
Dresden-Bergstr.,51.0216449,13.7302085,28,4990E2
Zwickau-Werdauer Str.,50.7206456,12.473687,38,4990E2
Dresden-Winckelmannstr.,51.0396889,13.7311378,33,4990E2
Brockau,50.6069704,12.2141634,52,4990E2
Burg,42.6073975,25.4856617,39,4990E2
Wernigerode/Bahnhof,51.83875345,10.78652642,106,4990E2
Bitterfeld/Wolfen,51.6425032,12.3076334,23,4990E2
Bernburg,51.782624,11.76357603,86,4990E2
Brocken,51.7991251,10.6156365,82,4990E2
Halberstadt,51.8926561,11.0554519,45,4990E2
Halle/Nord,52.1167004,9.362746253,24,4990E2
Wittenberg/Bahnstrasse,51.8678844,12.6588185,13,4990E2
Halle/Merseburger Strasse,51.4313237,11.9842559,37,4990E2
Magdeburg/West,52.1315889,11.6399609,22,4990E2
Zartau Waldstation,52.631376,11.155274,10,4990E2
Leuna,51.3233638,12.0195081,26,4990E2
Dessau Albrechtsplatz,51.8394579,12.2450153,2,4990E2
Wittenberg/Dessauer Strasse,51.8655907,12.6183501,22,4990E2
Aschersleben,51.7559549,11.462134,74,4990E2
Unterharz Friedrichsbrunn,51.694605,11.049627,14,4990E2
Halle/Paracelsusstr.,51.5017062,11.9737509,53,4990E2
Magdeburg Schleinufer,52.136777,11.6510381,28,4990E2
Stendal Stadtsee,52.6067177,11.836841,8,4990E2
Weißenfels/Am Krug,51.1934387,11.9607582,36,4990E2
Magdeburg Otto-von-Guericke-Str.,52.128274,11.630237,28,4990E2
Saalfeld,50.6481277,11.3616652,79,4990E2
Gera Friedericistr.,50.8779649,12.0730915,105,4990E2
Altenburg Theaterplatz,50.9870367,12.437904,4,4990E2
Eisenach Wernebrg.Str,50.979504,10.315845,57,4990E2
Nordhausen,48.4492097,7.6735124,21,4990E2
Erfurt Krämpferstr.,50.9803952,11.0400794,16,4990E2
Dreißigacker,50.56217755,10.38011042,21,4990E2
Neuhaus,49.1443265,15.003354,55,4990E2
Greiz Mollbergstr.,50.6562932,12.2040084,19,4990E2
Jena Dammstr.,50.9341511,11.59803,19,4990E2
Possen,51.3391398,10.8597569,29,4990E2
Erfurt Bergstr.,50.9830404,11.0180913,25,4990E2
Zella-Mehlis,50.6574735,10.6727728,21,4990E2
Hummelshain,50.7672981,11.6296439,30,4990E2
Suhl F.-König-Str.,50.611939,10.693745,44,4990E2
Weimar Steubenstr.,50.9774643,11.3258085,14,4990E2
Mühlhausen Wanfrieder Str,51.2052905,10.4484488,3,4990E2
Weimar Schwanseestr.,50.9841281,11.3169975,21,4990E2
Mühlhausen Bastmarkt,51.208361,10.4504533,40,4990E2
Schauinsland,47.9118843,7.8986554,2,4990E2
Waldhof,50.5987376,7.6544302,90,4990E2
Zingst,54.428231,12.8264118,36,4990E2
Schmücke,50.6546325,10.7737117,5,4990E2
Neuglobsow,53.1467207,13.0500764,59,4990E2
Fulda Zentrum‚Í,50.550213,9.682788,37,4990E2
Chemnitz Hans-Link-Straße,50.8476087,12.9465394,61,4990E2
Erfurt Bautzener Weg,50.9922049,11.0595408,47,4990E2
Recklinghausen-Hochlarmark,51.5660134,7.1932466,21,4990E2
Eggebek,54.6204005,9.3801708,19,4990E2
